College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Salary
CLG0050,68,6.34,6.17,6,Yes,3,1,2,No,439186.6306159041
CLG0064,125,6.17,6.17,6,No,4,6,2,No,558425.754281366
CLG0030,95,7.57,7.35,6,Yes,9,3,2,No,551568.6665714909
CLG0038,104,6.61,6.55,4,No,7,10,4,No,537176.7391152626
CLG0078,99,5.77,5.64,3,No,2,10,4,No,482515.91094821383
CLG0055,93,7.27,7.51,10,Yes,10,3,4,No,567234.4605807876
CLG0003,91,9.37,9.47,6,Yes,2,9,5,Yes,636445.9803241057
CLG0025,104,7.85,8.0,6,No,4,7,0,No,606260.5504682325
CLG0045,77,9.39,9.1,2,Yes,8,2,0,No,601212.3521396716
CLG0062,111,5.98,5.81,10,No,4,6,5,No,517032.80412178615
CLG0007,93,5.83,5.35,9,No,0,4,3,No,435827.49163606873
CLG0081,83,7.88,7.49,4,Yes,4,10,4,No,544850.5340979102
CLG0027,93,7.32,7.09,4,No,8,7,4,No,534085.8682393455
CLG0023,118,8.3,7.87,10,Yes,6,4,0,No,637117.7595157451
CLG0032,91,8.97,9.07,8,No,8,7,2,No,651893.1050809282
CLG0002,105,8.76,9.26,3,No,9,6,2,No,664687.219953556
CLG0075,89,9.71,9.31,10,Yes,9,8,5,Yes,644076.755468339
CLG0034,111,6.99,7.31,7,Yes,4,7,5,No,573319.9446935874
CLG0052,110,6.03,5.65,7,No,2,9,5,No,483204.31620561227
CLG0061,127,7.75,7.92,2,No,1,4,1,No,638960.3506784075
CLG0034,97,5.55,5.69,3,Yes,8,9,5,No,477549.64299209375
CLG0007,110,6.44,6.84,4,Yes,4,5,3,No,565848.422548913
CLG0010,101,6.04,5.65,2,Yes,10,9,3,No,483795.3354377223
CLG0089,119,6.98,6.8,9,No,0,4,4,No,567217.6667347732
CLG0002,89,5.56,5.15,10,Yes,1,3,0,No,419002.7100165209
CLG0030,111,5.16,5.07,6,No,1,7,3,No,483231.883698003
CLG0081,97,8.28,8.69,1,Yes,3,4,2,No,637867.1780214423
CLG0029,99,8.05,8.33,1,No,5,5,0,No,620583.7190563247
CLG0082,101,8.54,8.76,8,Yes,7,3,4,No,635556.7014411095
CLG0060,103,8.3,8.33,6,Yes,2,6,5,No,618526.1823971667
CLG0099,98,5.57,5.95,10,No,9,4,4,No,512045.4702499682
CLG0017,103,6.46,6.41,7,Yes,9,1,3,No,510271.02076591493
CLG0056,123,5.65,5.3,6,Yes,5,2,3,No,517761.3870595097
CLG0086,114,9.21,9.55,2,No,3,8,5,Yes,717703.6428209858
CLG0051,113,8.73,8.51,3,Yes,7,4,1,No,655187.9271153858
CLG0025,93,6.01,5.56,8,Yes,8,10,5,No,452843.280701086
CLG0084,86,6.71,6.34,4,Yes,8,2,5,No,496814.31961647543
CLG0016,114,9.83,9.94,8,No,5,4,3,Yes,721068.8161793111
CLG0025,113,7.97,8.08,3,Yes,1,7,3,Yes,639708.9970679819
CLG0015,122,9.01,8.77,2,Yes,1,2,2,Yes,650405.2354866386
CLG0079,90,6.32,6.55,7,Yes,9,6,2,No,509040.4953565348
CLG0057,96,6.05,6.32,1,No,8,1,0,No,517319.9158744951
CLG0015,75,8.92,9.34,3,No,4,3,3,No,616732.075281233
CLG0056,94,8.43,8.51,2,No,6,9,3,Yes,608080.6283480206
CLG0082,114,8.4,8.68,5,No,5,5,4,Yes,658578.619668849
CLG0037,93,7.76,8.01,2,No,8,8,2,Yes,589917.471283429
CLG0065,109,7.82,7.58,10,No,4,1,4,No,582931.3374867025
CLG0033,97,8.68,8.49,5,No,7,4,3,No,618824.5203865583
CLG0003,104,6.35,6.33,3,Yes,3,3,2,No,522812.5353712408
CLG0049,82,6.76,6.28,9,Yes,6,10,3,No,481433.5417935829
CLG0022,101,9.36,9.16,10,No,8,9,1,No,648174.4328777626
CLG0054,55,6.54,6.51,9,Yes,1,7,5,No,443088.11693298747
CLG0021,97,7.73,7.34,8,No,8,3,4,No,561184.1631417964
CLG0027,75,8.51,8.14,5,No,7,1,2,No,560419.6814825567
CLG0004,118,10.0,9.96,10,Yes,9,5,2,Yes,728059.5008763928
CLG0099,111,7.18,7.41,7,No,0,10,3,Yes,590817.9981684994
CLG0001,107,7.14,7.47,2,No,9,3,3,No,586925.1410217407
CLG0004,122,9.21,9.26,3,Yes,6,2,0,No,708117.6296624661
CLG0055,85,9.03,9.0,2,No,4,3,0,No,627820.0866802183
CLG0024,126,8.66,8.54,10,No,4,5,4,Yes,683786.6256304544
CLG0029,113,7.32,7.01,1,No,6,5,2,No,586490.5741947347
CLG0022,96,6.62,6.27,3,No,10,10,3,No,526403.2705862746
CLG0023,117,8.04,8.33,4,No,9,8,4,Yes,638409.145301661
CLG0085,83,9.38,9.35,9,No,3,4,2,No,632509.4771852936
CLG0078,87,9.42,9.71,2,No,0,2,3,No,662316.8627642628
CLG0008,90,5.54,5.74,9,Yes,5,8,0,No,481031.099577291
CLG0058,92,7.14,6.83,1,Yes,0,8,2,No,523906.3147836979
CLG0080,84,7.32,7.33,9,No,10,10,3,No,538311.3263974743
CLG0099,118,9.89,9.83,6,No,0,8,4,Yes,744957.6145586798
CLG0088,96,8.39,8.31,8,No,7,1,4,No,596903.8191095509
CLG0059,105,7.04,7.08,3,No,3,9,1,No,566178.190029271
CLG0090,91,5.13,5.61,8,No,4,4,2,No,462721.4386840646
CLG0007,72,7.83,8.14,9,Yes,9,4,4,No,541465.0145246763
CLG0025,104,5.48,5.88,7,No,9,8,2,No,489750.3871490547
CLG0045,71,9.17,8.7,4,No,0,8,4,Yes,586616.0597830405
CLG0090,98,8.76,8.4,6,Yes,9,6,2,No,609025.5642678763
CLG0026,79,7.3,6.88,6,Yes,6,4,2,No,505188.00497619045
CLG0030,129,7.15,6.91,2,No,10,3,2,No,602387.8199481692
CLG0066,113,9.49,9.43,2,Yes,1,5,1,No,687455.9994710528
CLG0053,101,6.44,6.58,5,No,5,8,0,No,522469.6098634425
CLG0073,118,6.25,6.25,1,No,8,7,5,No,527817.6372535849
CLG0039,87,9.7,10.1,5,Yes,1,8,2,Yes,671688.4561191968
CLG0011,108,9.05,9.49,10,Yes,5,1,0,No,677330.1644107682
CLG0079,102,9.1,8.76,3,No,4,4,5,No,650787.2035298453
CLG0012,103,5.98,6.33,3,Yes,1,9,0,No,526014.5338209781
CLG0099,119,5.72,5.7,8,Yes,8,6,0,No,523342.56758941396
CLG0050,110,5.13,5.08,3,Yes,1,10,4,No,477308.47572035383
CLG0056,104,6.19,6.47,3,Yes,0,8,3,No,520525.93200554035
CLG0040,75,8.87,8.46,1,No,8,8,5,Yes,562105.8587416356
CLG0016,85,6.2,6.58,8,No,8,5,0,No,493589.3763887515
CLG0049,98,8.65,8.82,10,Yes,8,8,2,Yes,632814.9675045814
CLG0032,101,6.26,6.64,10,No,7,4,3,No,518078.11943177774
CLG0082,83,6.98,7.47,6,Yes,3,6,4,No,540852.7569019243
CLG0045,136,9.92,9.94,8,No,8,7,1,No,774303.0725669387
CLG0085,122,6.22,5.81,3,No,1,6,0,No,540056.1752744959
CLG0080,109,6.88,6.55,6,Yes,0,6,0,No,545636.5488242307
CLG0071,101,6.51,6.33,2,Yes,9,8,4,No,511673.02675007505
CLG0005,96,5.55,5.15,3,No,6,5,2,No,457617.49584511406
CLG0044,85,7.45,7.77,4,No,5,8,5,No,568843.3175333772
CLG0041,101,6.89,6.69,9,No,2,9,5,No,539877.9688475225
CLG0097,103,8.47,8.95,4,No,1,4,5,No,647978.8134476811
CLG0095,81,9.09,9.29,7,No,7,3,2,No,629796.6117860174
CLG0085,105,7.72,7.39,8,Yes,3,5,3,No,581615.7281289359
CLG0067,97,5.16,5.14,5,No,5,10,3,No,433316.5931013245
CLG0074,71,8.09,8.06,2,No,3,10,2,Yes,567420.5479698364
CLG0075,87,5.28,5.27,8,No,10,5,1,No,435905.95692992886
CLG0022,93,8.08,8.12,5,Yes,8,7,2,No,604176.6578730278
CLG0017,128,8.43,7.96,5,No,4,3,1,No,646044.4598324564
CLG0089,108,5.99,6.18,7,No,5,10,4,No,513562.0293947905
CLG0092,79,9.1,9.09,6,No,8,9,5,Yes,622265.1059660041
CLG0050,107,9.56,9.85,3,No,5,6,1,No,702874.9989132971
CLG0084,76,9.07,9.39,7,No,1,10,5,Yes,625351.6108359843
CLG0094,116,6.53,6.26,1,No,10,9,4,Yes,535141.9185678385
CLG0031,92,7.93,7.48,4,Yes,0,1,5,No,558249.2426601463
CLG0013,98,9.57,9.77,4,No,8,2,5,No,664186.8349933714
CLG0074,119,6.6,7.08,6,No,1,10,0,No,592102.0050251684
CLG0051,80,9.1,9.05,6,No,1,2,2,No,625406.0707820486
CLG0033,79,5.05,4.81,10,Yes,3,8,3,No,393971.27842819074
CLG0020,91,5.02,4.68,8,Yes,9,4,0,No,429450.1914106397
CLG0048,115,8.8,8.59,1,No,9,7,3,Yes,644823.8963134862
CLG0078,77,8.81,8.64,7,No,2,4,1,No,602548.9194796144
CLG0072,57,8.94,8.86,4,No,6,4,2,No,563615.6469547887
CLG0072,93,9.65,9.81,6,No,6,8,2,Yes,671291.5036379562
CLG0092,108,5.59,5.36,10,Yes,2,10,2,No,474891.28119228914
CLG0074,118,6.16,5.71,9,No,2,4,0,No,523338.03167202225
CLG0014,93,9.52,9.39,3,No,8,3,4,No,655918.697110762
CLG0062,93,5.89,6.25,8,No,6,10,1,No,484822.4939957526
CLG0051,117,8.41,8.41,3,Yes,2,9,0,Yes,650941.0456740352
CLG0078,71,7.65,8.11,6,No,2,3,0,No,526908.0255149127
CLG0070,94,5.42,5.42,2,Yes,2,5,4,No,470273.92388268706
CLG0098,102,6.43,6.21,9,Yes,8,1,3,No,508623.9041897763
CLG0081,106,7.6,7.29,2,No,7,9,3,No,572342.0465569338
CLG0021,92,9.26,9.45,5,No,6,6,2,No,666288.955097513
CLG0092,100,8.54,8.58,6,No,7,5,0,No,651343.1340735438
CLG0038,62,8.11,8.21,4,No,0,4,4,No,546365.6274516106
CLG0015,90,7.48,7.74,7,No,8,8,4,No,578293.5109477665
CLG0036,106,6.49,6.72,7,Yes,4,2,3,No,548645.7161211007
CLG0100,85,5.6,5.14,7,No,4,10,4,No,416262.52963424526
CLG0009,100,7.05,7.35,7,Yes,4,5,3,No,565820.1505172515
CLG0099,106,5.14,5.17,10,Yes,8,8,3,No,471931.3126908191
CLG0059,94,6.06,5.95,10,Yes,4,1,5,No,478745.3792187634
CLG0082,102,7.16,7.2,9,No,1,3,0,No,568328.1103114393
CLG0054,85,7.09,7.2,2,Yes,5,7,5,No,523927.54309721006
CLG0017,96,5.22,4.87,5,Yes,6,10,1,No,439292.0031417719
CLG0082,109,7.95,7.87,10,No,10,5,5,No,601983.7789187316
CLG0004,102,7.75,7.59,9,Yes,6,10,2,No,589537.7833777652
CLG0084,91,5.39,5.24,2,Yes,6,9,1,No,441108.5300245731
CLG0013,103,9.72,9.31,3,Yes,10,1,4,No,674737.5041646484
CLG0075,110,5.5,5.16,7,No,1,7,5,No,490184.4329857111
CLG0043,69,9.27,8.93,9,No,5,10,1,No,567498.3087123367
CLG0097,117,5.0,4.87,3,Yes,8,6,1,No,476575.263682306
CLG0092,94,9.41,9.8,10,No,0,10,3,Yes,684678.5085656701
CLG0008,106,5.1,4.81,8,No,2,4,0,No,474826.1010777002
CLG0020,117,8.79,8.71,8,Yes,5,10,4,Yes,664572.3955325985
CLG0082,79,6.81,6.62,4,No,6,10,2,No,471327.7439946916
CLG0071,89,8.69,8.98,6,No,1,6,3,No,639162.0441447902
CLG0061,95,7.01,6.56,8,Yes,9,10,2,No,526152.2823556236
CLG0044,88,5.35,5.05,9,Yes,7,9,0,No,438420.6455848665
CLG0097,126,8.84,8.55,2,No,10,9,1,Yes,673680.8629506428
CLG0051,87,5.36,5.85,1,Yes,5,2,5,No,469257.2573520398
CLG0058,91,9.61,9.68,5,Yes,8,9,1,No,685269.6891222962
CLG0075,103,5.25,4.89,10,No,8,2,0,No,456273.8749182555
CLG0030,81,7.4,7.17,3,Yes,8,6,4,No,515410.52677105874
CLG0099,94,8.62,8.29,6,No,8,7,3,No,606175.5572843698
CLG0084,104,6.97,6.59,1,Yes,1,9,1,No,530320.8361856864
CLG0010,95,6.09,6.39,4,Yes,9,6,5,No,505024.46108398505
CLG0094,98,8.8,8.8,6,No,9,8,0,No,621106.8924811744
CLG0018,92,8.92,9.05,2,No,6,10,3,Yes,631636.1164540087
CLG0025,77,9.61,9.44,8,No,4,3,3,No,616531.9396367951
CLG0096,104,6.88,6.93,4,No,8,10,0,No,548533.8693736584
CLG0034,126,7.53,7.29,2,No,0,6,1,No,596909.4662492195
CLG0044,100,6.82,6.63,1,No,9,2,4,No,538505.8392566078
CLG0039,103,6.29,6.44,8,No,6,1,1,No,531908.4020765626
CLG0095,110,8.76,8.41,10,Yes,9,6,1,No,640840.8983944185
CLG0092,80,6.7,6.82,1,No,4,3,1,No,510004.9639280728
CLG0090,125,7.14,7.49,7,No,10,5,5,No,612476.3999661711
CLG0068,103,7.02,6.64,7,Yes,8,6,1,No,543702.8989767618
CLG0043,124,8.56,8.96,6,Yes,6,10,5,Yes,699517.0456017111
CLG0020,89,9.59,9.17,8,No,3,6,5,No,645376.962589179
CLG0072,127,8.33,8.18,10,No,10,10,2,Yes,667895.269841565
CLG0002,111,7.36,7.47,1,Yes,7,7,0,No,588238.3125976011
CLG0027,108,8.9,8.96,1,No,8,7,4,No,654154.3672051604
CLG0034,103,8.2,7.8,1,No,8,6,5,No,590692.8939075825
CLG0055,96,5.3,5.6,6,Yes,9,1,4,No,465051.8734974458
CLG0036,118,5.48,5.95,7,Yes,3,8,2,Yes,528668.1045394808
CLG0085,102,5.19,4.87,10,No,5,10,4,No,449840.54055744683
CLG0072,70,7.28,7.68,9,Yes,3,4,2,No,519714.45568469446
CLG0087,83,9.13,9.19,10,Yes,0,1,2,No,628825.9539835581
CLG0072,97,6.57,7.01,5,Yes,5,10,5,No,546521.2988263797
CLG0069,104,6.92,6.6,1,No,7,2,4,No,538768.7628013664
CLG0065,99,9.55,9.84,9,Yes,5,3,4,No,694572.8448143712
CLG0085,118,9.18,8.74,5,Yes,2,6,1,No,681202.5503468402
CLG0044,70,8.33,8.71,6,Yes,7,2,5,No,583919.2426423123
CLG0043,102,6.33,6.5,9,Yes,9,2,2,No,505431.9150005059
CLG0074,72,5.59,5.46,2,Yes,8,6,3,No,416609.4539006968
CLG0066,111,5.08,4.77,3,Yes,0,4,0,No,457131.83565023635
CLG0021,98,5.54,5.86,7,Yes,10,5,1,No,485395.08803848206
CLG0061,106,6.46,6.56,3,Yes,10,8,5,No,542570.7520711542
CLG0013,87,7.76,7.62,2,Yes,5,3,2,No,550344.0224355422
CLG0028,119,5.32,5.26,7,No,9,5,5,No,513366.81631637085
CLG0030,115,5.68,6.01,8,No,7,1,1,No,535181.4137609577
CLG0082,108,5.91,5.75,9,No,1,10,1,No,502944.22669828805
CLG0002,98,8.16,7.75,2,No,3,4,5,No,579523.689874425
CLG0058,108,8.08,8.49,2,No,0,5,5,No,626509.6255315145
CLG0083,89,7.75,7.64,7,Yes,3,4,0,No,565892.9751135377
CLG0021,112,6.25,6.1,4,No,1,9,4,Yes,534871.2225481258
CLG0090,124,6.86,6.56,5,No,2,8,4,Yes,597648.2570511223
CLG0046,116,5.48,5.88,1,Yes,3,2,5,No,544606.8020672969
CLG0089,89,6.13,5.85,6,No,2,9,0,No,465041.8356901352
CLG0083,105,9.49,9.63,10,No,5,2,5,No,685725.2851663356
CLG0025,80,9.9,10.28,8,No,6,6,1,No,670199.4252629732
CLG0057,108,8.24,7.77,1,No,10,2,2,No,601984.7528738949
CLG0020,106,9.58,9.91,2,Yes,6,6,4,No,712124.2494371358
CLG0006,71,8.21,8.12,7,Yes,0,6,3,No,557951.0173479645
CLG0018,82,5.17,5.33,2,Yes,4,7,5,No,421656.3578765684
CLG0049,95,9.98,9.85,9,Yes,2,10,5,Yes,668857.08808224
CLG0082,95,5.49,5.69,6,No,0,5,2,No,469906.36497030535
CLG0020,81,8.41,8.16,5,Yes,0,3,1,No,578556.929524278
CLG0034,105,6.26,5.78,7,No,1,2,3,No,495702.86657427234
CLG0010,103,6.96,7.41,10,Yes,9,4,2,No,584027.5979723724
CLG0033,97,8.23,7.75,8,Yes,7,1,0,No,566537.9588942103
CLG0055,88,7.18,7.5,9,No,3,2,3,No,568274.0418092505
CLG0019,115,6.25,5.92,6,No,9,8,5,Yes,516847.91284010874
CLG0066,124,6.67,6.56,5,No,2,5,1,No,575104.8157389767
CLG0047,92,6.71,7.03,7,No,7,5,5,No,538695.9687157145
CLG0049,90,9.8,9.51,2,Yes,1,3,3,No,644842.2558434771
CLG0067,107,8.99,9.36,8,No,8,1,0,No,676188.636677505
CLG0030,94,7.29,7.29,4,No,3,6,4,No,563634.8566435078
CLG0083,97,6.0,5.87,1,Yes,10,1,4,No,492258.6683428848
CLG0085,111,9.06,9.22,3,Yes,8,4,5,Yes,691570.6718279695
CLG0059,71,5.79,5.63,9,No,0,4,4,No,428796.89709408034
CLG0078,119,6.05,5.9,4,Yes,4,3,0,No,516860.6982787472
CLG0031,101,6.83,7.06,10,No,9,4,5,No,549301.36608801
CLG0021,93,9.4,9.21,10,No,6,6,2,No,642463.656534239
CLG0017,98,5.66,5.36,3,Yes,10,6,0,No,448114.3734336952
CLG0053,99,5.61,5.92,4,Yes,3,6,3,No,502177.1849851398
CLG0051,74,7.47,7.78,3,No,4,6,2,No,544526.5067056565
CLG0024,122,6.38,6.38,3,No,10,4,4,No,567191.4706778778
CLG0040,100,7.84,7.87,2,Yes,8,7,5,No,592049.1393280596
CLG0098,106,7.26,7.46,6,No,5,7,0,No,576558.926771061
CLG0047,114,7.17,7.18,10,No,5,2,1,No,598565.9692902801
CLG0020,84,5.56,5.48,6,Yes,1,6,4,No,437335.82003192464
CLG0016,107,5.71,6.2,10,No,0,5,1,No,544520.9609038403
CLG0058,95,9.11,8.76,4,No,3,10,5,Yes,618961.8406869798
CLG0049,112,9.43,9.52,8,Yes,9,1,2,Yes,696366.6599880377
CLG0042,68,6.17,6.56,6,No,2,3,4,No,473479.3441827527
CLG0012,98,5.57,5.76,8,No,10,9,5,No,478216.53761845303
CLG0041,90,5.27,5.65,6,Yes,6,9,0,No,454988.4309780523
CLG0058,106,8.04,7.88,9,Yes,6,10,1,No,607488.7463620054
CLG0060,107,8.58,8.35,3,No,5,9,0,No,626431.4456103706
CLG0024,89,6.86,7.21,3,Yes,4,10,4,No,535214.0821505276
CLG0013,89,8.4,8.29,2,No,2,5,0,No,583536.3019596385
CLG0034,98,8.56,8.77,10,No,3,6,4,No,641245.7210410567
CLG0061,86,9.68,9.33,6,No,4,9,3,Yes,643075.4548431971
CLG0027,112,5.32,5.58,7,No,3,4,0,No,516564.030745671
CLG0085,94,5.96,6.01,7,Yes,2,4,3,No,485207.7829064559
CLG0067,56,5.34,5.11,5,No,1,9,1,No,362813.2566903989
CLG0014,94,9.34,9.33,6,No,4,7,5,No,645301.8535107359
CLG0041,84,8.96,9.16,7,No,1,6,0,No,612895.013575246
CLG0057,75,7.87,7.38,2,No,1,10,0,No,520437.5023597766
CLG0030,81,5.42,5.56,10,No,1,6,1,No,457483.9282593293
CLG0045,101,6.37,6.41,7,Yes,1,5,0,No,501196.16584305675
CLG0074,119,6.49,6.21,1,No,7,4,4,No,546311.1627683268
CLG0001,104,7.8,8.05,6,Yes,6,3,3,No,623192.4219756798
CLG0092,90,6.29,6.09,8,Yes,8,7,2,No,480945.9277059456
CLG0083,106,5.36,5.14,1,Yes,2,5,4,No,464387.1362503017
CLG0094,93,8.65,8.62,1,Yes,0,2,2,No,631250.8639608204
CLG0084,89,6.5,6.68,6,No,5,3,1,No,530007.4223476638
CLG0052,82,7.26,7.69,5,Yes,8,5,1,No,558291.7758303217
CLG0020,73,5.64,5.28,3,No,0,9,0,No,418161.30865852657
CLG0023,94,9.01,8.91,10,No,0,6,4,No,626318.9656838065
CLG0095,102,7.83,7.4,10,No,3,2,5,No,577149.0509163789
CLG0096,98,9.51,9.77,7,No,9,8,2,Yes,683987.983259557
CLG0090,93,7.48,7.43,7,No,0,6,3,No,544885.5675435581
CLG0078,85,9.71,9.92,7,No,8,6,5,No,663390.3646305831
CLG0006,109,9.46,9.28,6,No,5,8,4,Yes,678521.0887901665
CLG0033,80,7.88,8.22,4,Yes,4,7,5,No,562996.4497209741
CLG0008,111,9.67,9.7,9,No,10,5,1,No,698094.4863905581
CLG0063,84,6.62,7.06,9,No,4,9,4,No,518960.05028881173
CLG0004,88,6.83,6.41,7,No,10,1,3,No,477330.74484175944
CLG0013,77,5.23,5.24,7,Yes,10,4,4,No,409399.3043476633
CLG0035,92,7.95,8.22,8,No,10,10,0,No,617041.4188983941
CLG0093,114,8.61,8.71,5,Yes,1,9,5,Yes,658072.6999140095
CLG0089,107,8.87,8.39,9,No,2,2,3,No,643896.0563448503
CLG0034,114,5.75,6.22,6,No,6,3,2,No,537826.1580029776
CLG0056,107,7.22,7.02,7,Yes,3,3,1,No,565794.7685806125
CLG0011,83,5.88,5.63,7,No,5,6,4,No,452138.8327273384
CLG0038,95,8.31,8.3,9,Yes,7,3,3,No,596769.305238592
CLG0093,88,5.79,5.83,7,No,0,3,0,No,480753.20140434627
CLG0045,119,9.52,9.79,3,No,10,5,0,No,716728.0821214047
CLG0086,82,6.15,6.04,6,Yes,5,3,2,No,478779.9912484378
CLG0058,113,6.46,6.4,6,No,0,5,1,No,543836.031167396
CLG0034,113,9.25,9.28,7,Yes,7,3,0,No,699240.479006486
CLG0075,127,7.29,7.18,6,Yes,3,2,1,No,606017.0739521555
CLG0092,93,5.12,5.53,4,No,4,8,3,No,465241.754173537
CLG0072,110,7.47,7.82,6,Yes,9,3,4,No,602903.499420347
CLG0024,134,5.42,5.37,3,No,1,6,2,No,545294.9887764589
CLG0074,90,9.93,9.43,1,No,2,2,0,No,651145.6712601458
CLG0079,76,7.94,8.34,1,Yes,6,1,4,No,570542.7713813263
CLG0063,71,6.28,5.9,5,No,6,8,0,No,429710.85092325043
CLG0039,110,7.82,7.56,8,No,10,3,2,No,607045.8523937576
CLG0021,71,5.38,5.03,3,No,7,2,0,No,391934.97716482665
CLG0100,94,9.0,8.68,2,No,2,2,2,No,621648.9690812192
CLG0036,106,9.63,9.93,8,No,1,5,4,No,711264.961652688
CLG0048,102,9.37,9.45,9,No,1,6,3,No,696452.6362019699
CLG0084,106,6.71,7.17,9,No,5,2,2,No,573027.4439252219
CLG0013,103,6.63,6.36,2,No,1,6,3,No,508378.93579542526
CLG0002,119,5.18,5.17,8,No,10,1,1,No,505300.00725895196
CLG0027,85,8.26,8.74,2,No,3,9,4,Yes,599782.9057186521
CLG0007,89,7.67,8.0,7,No,8,4,2,No,587305.8517980268
CLG0090,88,7.3,7.53,8,No,9,5,4,No,534720.1534761444
CLG0094,112,9.54,9.23,1,No,2,3,5,Yes,704965.3476926503
CLG0019,113,5.84,6.11,8,Yes,0,6,3,No,548232.2838599691
CLG0040,106,5.05,4.9,3,Yes,1,1,3,No,444793.251619496
CLG0021,117,5.37,5.4,1,No,9,7,4,No,505512.00802797533
CLG0058,82,6.12,6.23,7,No,9,8,4,No,481436.57321043423
CLG0026,125,5.17,5.28,10,No,6,3,5,No,522692.0758192869
CLG0074,122,7.51,7.74,3,No,8,2,3,No,621839.5439196342
CLG0036,111,6.57,6.73,8,Yes,8,4,5,No,560840.2495833338
CLG0044,126,5.9,5.47,9,Yes,3,8,5,Yes,525049.796240883
CLG0064,75,8.75,8.71,2,No,7,8,4,Yes,592881.8792189566
CLG0027,92,6.02,6.18,1,Yes,0,8,5,No,476175.18510635674
CLG0008,88,8.44,8.24,8,No,10,2,3,No,575700.4959794796
CLG0090,110,6.75,6.56,10,Yes,10,4,1,No,558571.2943050851
CLG0001,84,7.56,7.18,6,No,5,10,3,No,529925.2170838235
CLG0023,111,9.67,9.59,10,Yes,7,1,5,Yes,698582.0362654005
CLG0073,120,5.19,5.68,1,Yes,1,7,0,No,540515.5531683647
CLG0031,110,7.5,7.29,3,Yes,7,10,3,No,591168.7505291478
CLG0007,104,9.27,9.3,9,No,3,6,1,No,661536.8652421295
CLG0009,85,7.94,8.18,9,No,1,7,3,No,576241.4363261076
CLG0071,87,6.38,5.89,6,Yes,3,10,4,No,459094.0756415273
CLG0092,118,6.99,7.39,3,Yes,7,5,5,No,574969.7693711882
CLG0098,111,8.4,8.29,8,No,3,6,1,No,640183.0272431746
CLG0053,99,9.45,9.82,6,No,7,6,2,No,688746.4637282843
CLG0016,93,5.21,4.75,1,Yes,6,6,3,No,426981.1285479077
CLG0074,69,5.36,5.01,6,No,4,9,4,No,381585.50158803613
CLG0024,83,6.63,6.45,5,Yes,7,4,2,No,496412.60623485
CLG0074,128,6.16,6.01,8,No,1,2,2,No,545800.1760556963
CLG0046,80,6.32,6.67,2,Yes,2,9,2,No,490543.8277737589
CLG0029,102,6.11,5.62,7,No,3,10,0,No,472797.2686031356
CLG0089,115,5.98,6.12,6,No,9,7,5,No,537632.5810353482
CLG0030,81,5.65,5.28,1,No,4,5,4,No,427755.6786253127
CLG0051,102,9.67,9.99,8,No,4,6,0,No,707441.8248290409
CLG0083,114,5.72,6.0,6,Yes,0,7,4,No,523326.6682856821
CLG0031,100,6.02,6.02,3,Yes,0,5,4,No,508166.0827758638
CLG0030,143,6.23,5.94,5,Yes,10,5,5,No,569331.9134059959
CLG0034,74,9.67,9.8,7,No,0,6,1,No,662999.499933345
CLG0092,115,8.78,8.44,9,No,4,8,2,Yes,645641.1358336542
CLG0019,97,8.95,8.64,4,Yes,1,2,3,No,626512.0347214307
CLG0075,111,5.52,5.65,2,No,2,10,1,No,498068.1141707391
CLG0028,106,9.18,9.67,3,Yes,7,9,3,Yes,679059.430817624
CLG0006,89,7.04,7.43,7,Yes,9,10,5,No,553082.1853969019
CLG0017,103,6.31,6.4,8,Yes,7,5,2,No,521373.350695925
CLG0091,72,7.88,7.92,5,Yes,9,4,4,No,548901.6892107406
CLG0036,109,9.11,9.61,3,Yes,1,8,5,Yes,706446.856588671
CLG0001,104,8.89,8.94,1,No,7,4,1,No,663474.7015910784
CLG0016,109,9.45,9.37,10,No,10,2,0,No,693616.4203804507
CLG0068,115,9.64,10.05,1,No,8,5,4,Yes,742497.7318622983
CLG0047,105,6.19,5.92,2,No,9,5,5,No,502660.0414051799
CLG0023,102,7.12,6.72,5,No,9,4,0,No,548200.535936001
CLG0096,86,5.07,5.2,3,Yes,5,3,4,No,438306.9917222228
CLG0067,89,9.4,9.0,7,No,0,5,4,No,633818.0433642636
CLG0062,117,5.77,5.64,2,No,10,9,2,Yes,517475.8819912957
CLG0085,121,9.31,9.23,2,No,10,9,1,Yes,695814.4790489555
CLG0088,96,6.65,6.7,3,No,2,9,5,No,542431.6429434582
CLG0015,100,6.84,7.33,1,No,4,6,5,No,563809.4403642354
CLG0075,86,5.2,4.92,2,No,2,8,5,No,418287.84767161607
CLG0067,117,6.63,6.51,5,Yes,2,1,3,No,564179.8709239813
CLG0083,109,9.44,9.07,3,No,8,1,2,No,682777.708969958
CLG0043,129,5.13,5.24,10,Yes,4,7,3,No,517454.46460527205
CLG0008,86,7.03,7.26,6,Yes,7,5,4,No,531430.9564448216
CLG0098,94,5.16,5.14,2,No,6,2,0,No,448928.62323502835
CLG0098,103,6.85,6.6,8,No,3,4,3,No,544999.6219696295
CLG0044,109,5.86,5.98,4,No,2,4,0,No,526396.6101253355
CLG0026,96,6.26,6.3,3,No,2,6,3,No,510001.96117994445
CLG0067,86,9.39,9.06,5,Yes,10,8,0,No,635876.8129961054
